DTXSID,SMILES
DTXSID001003249,C=CCOC(=O)C(F)(F)C(F)(Cl)Cl
DTXSID001009316,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O
DTXSID001009916,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl.[Na+]
DTXSID001023627,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F
DTXSID001023677,O=C([O-])C(F)(OC(F)(F)C(F)(F)CI)C(F)(F)F.[Na+]
DTXSID001023689,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
DTXSID001023760,O=P(O)(O)OCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
DTXSID001023772,CCOP(=O)(CCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)OCC
DTXSID001023784,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00145182,C[Si](C)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00154476,CCCc1nc(C(F)(F)C(F)(F)F)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
DTXSID00158474,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(N1CCOCC1)N1CCOCC1
DTXSID00164454,O=P([O-])(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+]
DTXSID00166413,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F
DTXSID00178152,FC1=C(OCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID00179503,O=C1C(F)=C(F)C(F)(F)C1(F)F
DTXSID00180876,CCN(CCOS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
DTXSID00184314,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
DTXSID00184995,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00187143,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00188993,CC(=O)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00188998,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00189066,O=C(Cl)C(F)(F)C(F)(F)C(=O)Cl
DTXSID00189465,FC(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID00190839,FC(F)(F)C(F)(F)C(F)(F)CCl
DTXSID00190950,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00192353,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00194615,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00195026,NCC(F)(F)C(F)(F)F
DTXSID00195203,C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00196230,FC(F)(F)C(I)(C(F)(F)F)C(F)(F)F
DTXSID0020024,C=CC(OCC)OCC
DTXSID00201737,OC(F)(F)C(F)(F)C(F)F
DTXSID00203453,FC1(F)C2=C(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F
DTXSID00207592,C=CCOC(=O)C(F)(F)C(F)(F)F
DTXSID00210081,FC(F)(Cl)C(F)(F)C(Cl)(Cl)OC(F)(F)C(F)(Cl)Cl
DTXSID00210900,OC(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
DTXSID00213537,FC(F)C(F)(F)C(F)(F)Br
DTXSID00223797,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00226440,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00227578,CCN(CC)CC.NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00234762,CCOCCOC(F)(F)C(F)F
DTXSID00234929,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[OH-]
DTXSID00237536,FC(F)(F)C(F)(F)c1nnc(C(F)(F)C(F)(F)F)o1
DTXSID00239570,O=S(=O)([O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[K+]
DTXSID00239595,O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+]
DTXSID00239858,O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID0024050,CC(F)F
DTXSID00240984,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
DTXSID00244104,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID0027141,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00276960,O=C(CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00283715,Nc1nc(=O)c(F)c(C(F)(F)C(F)(F)F)[nH]1
DTXSID00285794,OC(c1ccccc1)(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00290782,FC(F)(F)C(F)(F)C(F)(F)c1n[nH]c(C(F)(F)C(F)(F)C(F)(F)F)n1
DTXSID00292105,Cc1ccsc1C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00292125,Cc1cc(C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C)o1
DTXSID00293632,O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl.c1ccc(N2CCNCC2)cc1
DTXSID00293950,Fc1ccc2nc(C(F)(F)C(F)(F)F)[nH]c2c1
DTXSID00300618,FC(F)(F)C1(F)N(Cc2ccccc2)C1(F)F
DTXSID00312357,O=S(OCC(F)(F)F)OCC(F)(F)F
DTXSID00314351,FC(F)(F)C(F)(F)C(F)(F)c1nnnn1CC1(Cn2nnnc2C(F)(F)C(F)(F)C(F)(F)F)COC1
DTXSID00314654,O=C(NC(=O)C(F)(F)C(F)(F)F)Nc1ccc(Cl)cc1
DTXSID00329980,CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F.[Co]
DTXSID00330475,CC(C)c1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID00335703,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00336619,C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00336710,NC1=NC(=O)C(F)(C(F)(F)F)S1
DTXSID00337368,CC(O)CCC(F)(F)C(F)(F)F
DTXSID00338350,CC(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00338673,FC(=C(c1c(F)c(F)c(F)c(F)c1C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F
DTXSID00338835,CC(C)CCOC(=O)C[C@H](NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(C)C
DTXSID00339867,FC(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(F)Cl
DTXSID00344572,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00346051,FC(F)(F)C(F)(F)C(F)(F)C=CI
DTXSID00348353,FC(F)(F)C(F)(F)C1=C(C(F)(F)C(F)(F)F)C2(C(F)(F)C(F)(F)F)C(C(F)(F)C(F)(F)F)=C(C(F)(F)C(F)(F)F)N12
DTXSID00365621,O=C(O)c1ccccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00366012,Nc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID0036926,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F
DTXSID00369341,O=C(O)C(O)(C(F)(F)F)C(F)(F)F
DTXSID00369821,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O
DTXSID00369826,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00370992,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00371101,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00371222,O=C(O)C(F)(F)C(F)(Br)C(F)(F)Cl
DTXSID00371227,CCCCC=CC(F)(Cl)C(F)(F)Br
DTXSID00371287,FC(F)(F)C(F)(F)C(F)(F)C(C=CBr)(C(F)(F)F)C(F)(F)F
DTXSID00371303,FC1(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)C1(F)F
DTXSID00371323,O=C(Cl)C(F)(Br)C(F)(F)F
DTXSID00371601,FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)Br
DTXSID00371606,C=C(Br)C(F)(F)C(F)(F)Br
DTXSID00375104,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00375109,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1.O=S(=O)([O-])C(F)(F)F
DTXSID00377688,COC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
DTXSID00377825,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00378852,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl
DTXSID00379248,O=C(O)CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379268,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F
DTXSID00379288,FC(F)(F)C(F)(F)C(F)(F)[C@H]1CCCC[C@H]1I
DTXSID00379546,COC(=O)C(F)(F)C(F)(F)C(F)F
DTXSID00379561,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379566,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379703,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379728,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00379748,Oc1ccc(OC(F)(F)C(F)(F)F)cc1
DTXSID00379783,C=C(C)C(=O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
DTXSID00379829,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00379864,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
DTXSID00379884,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1
DTXSID00379925,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00379960,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00379980,CC(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
