DTXSID,SMILES,umap_1,umap_2,cluster
DTXSID001003249,C=CCOC(=O)C(F)(F)C(F)(Cl)Cl,4.689239,-3.5228148,0
DTXSID001009316,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,3.2662773,3.7734227,0
DTXSID001009916,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl.[Na+],4.4193306,6.320743,1
DTXSID001023627,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,1.150424,3.2490811,0
DTXSID001023677,O=C([O-])C(F)(OC(F)(F)C(F)(F)CI)C(F)(F)F.[Na+],0.4743435,2.1626616,0
DTXSID001023689,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,-0.9680817,17.087418,2
DTXSID001023760,O=P(O)(O)OCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5.8000555,8.275568,1
DTXSID001023772,CCOP(=O)(CCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)OCC,7.371597,8.177792,1
DTXSID001023784,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,-1.0321343,17.526747,2
DTXSID00145182,C[Si](C)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.322675,10.081867,1
DTXSID00154476,CCCc1nc(C(F)(F)C(F)(F)F)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,9.389558,6.5885077,1
DTXSID00158474,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(N1CCOCC1)N1CCOCC1,4.4395742,8.241847,1
DTXSID00164454,O=P([O-])(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],4.5722523,7.576521,1
DTXSID00166413,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,1.732049,-5.8532786,0
DTXSID00178152,FC1=C(OCC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,2.0277548,-5.49746,0
DTXSID00179503,O=C1C(F)=C(F)C(F)(F)C1(F)F,2.8986385,-5.36346,0
DTXSID00180876,CCN(CCOS(=O)(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],4.054912,7.063704,1
DTXSID00184314,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,3.3582087,15.446072,1
DTXSID00184995,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.529478,10.232783,1
DTXSID00187143,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.2130485,14.575705,1
DTXSID00188993,CC(=O)C(F)(F)C(F)(F)C(F)(F)F,0.18131658,-4.06547,0
DTXSID00188998,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.9357017,-6.0051985,0
DTXSID00189066,O=C(Cl)C(F)(F)C(F)(F)C(=O)Cl,3.4031081,-4.13963,0
DTXSID00189465,FC(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-2.2320952,17.387066,2
DTXSID00190839,FC(F)(F)C(F)(F)C(F)(F)CCl,-1.2577155,12.977851,1
DTXSID00190950,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2518688,13.444838,1
DTXSID00192353,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0075376,5.431838,3
DTXSID00194615,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,4.348881,-1.3720528,0
DTXSID00195026,NCC(F)(F)C(F)(F)F,-1.9760264,12.570337,1
DTXSID00195203,C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.1808286,-3.0602279,0
DTXSID00196230,FC(F)(F)C(I)(C(F)(F)F)C(F)(F)F,-1.3278998,14.630567,1
DTXSID0020024,C=CC(OCC)OCC,0.15886854,10.069012,1
DTXSID00201737,OC(F)(F)C(F)(F)C(F)F,-1.4469414,13.509915,1
DTXSID00203453,FC1(F)C2=C(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,1.8045185,-6.622806,0
DTXSID00207592,C=CCOC(=O)C(F)(F)C(F)(F)F,4.817288,-3.3978796,0
DTXSID00210081,FC(F)(Cl)C(F)(F)C(Cl)(Cl)OC(F)(F)C(F)(Cl)Cl,2.2492032,8.204711,1
DTXSID00210900,OC(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.220946,14.500781,1
DTXSID00213537,FC(F)C(F)(F)C(F)(F)Br,-1.4420338,13.541378,1
DTXSID00223797,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.4136848,10.122665,1
DTXSID00226440,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.8724331,-5.645035,0
DTXSID00227578,CCN(CC)CC.NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.0430403,6.0735955,3
DTXSID00234762,CCOCCOC(F)(F)C(F)F,-0.5859348,10.623537,1
DTXSID00234929,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[OH-],3.047595,7.4946146,1
DTXSID00237536,FC(F)(F)C(F)(F)c1nnc(C(F)(F)C(F)(F)F)o1,13.197279,7.6873775,4
DTXSID00239570,O=S(=O)([O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[K+],4.2538524,5.956108,1
DTXSID00239595,O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],8.152285,8.193605,1
DTXSID00239858,O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.4990009,6.5667677,3
DTXSID0024050,CC(F)F,-1.7410176,12.393097,1
DTXSID00240984,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,6.634739,8.329755,1
DTXSID00244104,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.7673596,14.68716,1
DTXSID0027141,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.392089,10.977161,1
DTXSID00276960,O=C(CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,4.8240886,-1.2050714,0
DTXSID00283715,Nc1nc(=O)c(F)c(C(F)(F)C(F)(F)F)[nH]1,12.627425,7.21034,4
DTXSID00285794,OC(c1ccccc1)(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,10.730002,6.2701325,1
DTXSID00290782,FC(F)(F)C(F)(F)C(F)(F)c1n[nH]c(C(F)(F)C(F)(F)C(F)(F)F)n1,11.342053,7.830557,1
DTXSID00292105,Cc1ccsc1C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,12.416428,2.9743147,5
DTXSID00292125,Cc1cc(C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C)o1,12.1531,3.1228185,5
DTXSID00293632,O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl.c1ccc(N2CCNCC2)cc1,10.962037,3.7138286,5
DTXSID00293950,Fc1ccc2nc(C(F)(F)C(F)(F)F)[nH]c2c1,12.864649,6.738551,4
