DTXSID,SMILES,risk_score,seed_label
DTXSID2063050,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1.0,-1
DTXSID90533615,FC(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID60896562,FC(F)(F)C(F)(I)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID20870500,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,1.0,-1
DTXSID20846068,FC1(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(C1(F)F)C2(F)F,1.0,-1
DTXSID20187140,FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID20893355,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID90228812,FC(F)(F)C(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID90277906,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C1(F)F,1.0,-1
DTXSID90340821,FC1(F)OC2(C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,1.0,-1
DTXSID90578420,FC(F)(F)[C](F)(F)[Sb]([Br])([Br])([C](F)(F)C(F)(F)F)[C](F)(F)C(F)(F)F,1.0,-1
DTXSID8052019,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID10880158,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID10880118,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID30342541,FC1(F)OC2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,1.0,-1
DTXSID0036926,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,1.0,-1
DTXSID80880120,FC(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID30881288,FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID70437788,FC(F)(F)C(F)(F)P(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID50181176,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID50335975,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1.0,-1
DTXSID50520389,FC(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID50601122,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID90880151,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID50515856,FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID10381190,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)Br,1.0,-1
DTXSID40956976,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID40897310,FC(F)(F)C(F)(F)[C](C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID10462473,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0,-1
