CID,SMILES
44630019,CCCC[N+](C)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
4,CC(CN)O
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
11,C(CCl)Cl
13,C1=CC(=C(C=C1Cl)Cl)Cl
65552,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(=O)O
688145,CCNC(=O)/C=C/C1=CC(=CC=C1)Br
32793,CC(C)C(C)(C)C(C)(C)C(C)(C)S
524314,CCCCC1=CC=C(C=C1)Cl
32798,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl
196639,CCOC(=O)C1=CC(=O)C2=C(O1)C=CC=C2OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)OCC)OC(=O)[C@H](CCCCN)N
33,C(C=O)Cl
34,C(CCl)O
65575,C[C@@H]1CC[C@@H]2[C@]13CC[C@@]([C@H](C3)C2(C)C)(C)O
51,C(CC(=O)O)C(=O)C(=O)O
65591,CCCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2
66,C1=CC(=C(C=C1Cl)O)Cl
23625795,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.Cl
72,C1=CC(=C(C=C1C(=O)O)O)O
79,C1=CC(=CN=C1)C#N
229455,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CC[C@H]35
65620,CC1=NC2=C(C=C1)C(=CC(=C2O)Br)Br
65628,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O
163934,C=COCC1CCC(CC1)CO
65632,C1CSC(=O)C1NC(=O)CSCC(=O)O
32872,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C
6914152,CN1CCN(CC1)C2=CC=CC=C2/C=C\3/C(=O)N(CCS3)C4=CC(=C(C=C4)Cl)Cl
107,C1=CC=C(C=C1)CCC(=O)O
65659,C1COCCN1CCCNC(=O)C2=CC=C(C=C2)Cl
32897,CN(C)CC1=CC=CC=C1O
131204,CC(C)(CO)[C@H](C(=O)NCCCO)O
135,C1=CC(=CC=C1C(=O)O)O
32912,CCCCCCCCC(CCCCCC)C(=O)O
65681,CC(C)CN1C=NC2=C1C(=O)N(C(=O)N2C)C
688272,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
65684,CC1=CC2=C(C=C1)NC3C2CN(CC3)C
32933,CCCCCCCCCCC=CC1CC(=O)OC1=O
65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O
174,C(CO)O
176,CC(=O)O
177,CC=O
178,CC(=O)N
179,CC(C(=O)C)O
180,CC(=O)C
135430323,CC1=CC(=O)C2=C(C3=C4C5=C2C1=C(C=C5C(C(=C4C(=O)C=C3O)O)(C)C)O)O
190,C1=NC2=NC=NC(=C2N1)N
196,C(CCC(=O)O)CC(=O)O
9601227,C/C(=N\OC(=O)N(SN(C(=O)O/N=C(/SC)\C)C)C)/SC
204,C1(C(=O)NC(=O)N1)NC(=O)N
65758,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl
227,C1=CC=C(C(=C1)C(=O)O)N
32995,CN(C)C(=O)CNC(=O)CC1=CC=CC=C1
65768,C1=CC=C2C(=C1)C(=CN2)CCNC(=O)C3=CN=CC=C3
164072,CC1=NC2=C(CC3=C(O2)C=CC(=C3)C(C)C(=O)OCC(=O)N(C)C)C=C1
65770,CCCCN1CCCC1C(=O)NC2=C(C=C(C=C2C)C)C
33005,C(=O)(C(=O)[O-])[O-].[Ca+2]
65773,CCCC1=NC=C(S1)C(=O)O
5472495,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)(=O)C)C=CC(=C2)F)CC(=O)O
240,C1=CC=C(C=C1)C=O
241,C1=CC=CC=C1
65776,CC1=C(N(C2=C1C=C(C=C2)C(=O)OCCN(C)C)CC3=CC=CC=C3)C
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
247,C[N+](C)(C)CC(=O)[O-]
65784,CC(=O)N1C[C@@H](C[C@H]1C(=O)O)O
65790,COC1=CC(=CC(=C1OC)OC)C(=S)N2CCOCC2
9568512,CC(=O)NC1=CC=C(C=C1)/C=N/NC(=S)N
261,CCCC=O
262,CC(C(C)O)O
263,CCCCO
264,CCCC(=O)O
33039,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)F
6553885,C[C@@H]1CC[C@H]([C@H](C1)O)C(=C)C
289,C1=CC=C(C(=C1)O)O
299,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
300,C(C(=O)O)Cl
98613,C1=CC=C(C=C1)C2=CSC(=N2)NN
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
6422843,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC
65854,C1CNCCC1SC2=NC(=CC=C2)Cl
323,C1=CC=C2C(=C1)C=CC(=O)O2
325,CC(C)C1=CC=C(C=C1)CO
326,CC(C)C1=CC=C(C=C1)C=O
33094,CC1=CC=CC=C1C(=O)OC
332,COC1=C(C=CC(=C1)C=C)O
65870,CCOC(=O)CN1C=CC=C1C2=NC(=C(S2)C3=CC=C(C=C3)OC)C4=CC=C(C=C4)OC
335,CC1=CC=CC=C1O
338,C1=CC=C(C(=C1)C(=O)O)O
342,CC1=CC(=CC=C1)O
65889,CC1=NN=C2N1C3=C(C=C(S3)CCC(=O)N4CCOCC4)C(=NC2)C5=CC=CC=C5Cl
24871267,CCCCNC1=C2C=NN(C2=NC(=C1C(=O)OCC)C)CC.Cl
356,CCCCCCCC
65894,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O
33133,CC1=CC(=CC(=C1)OP(=O)(OC2=CC(=CC(=C2)C)C)OC3=CC(=CC(=C3)C)C)C
370,C1=C(C=C(C(=C1O)O)O)C(=O)O
65906,CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5
65909,CC1(C2=CC=CN2C3=CC=CC=C3CO1)CN4CCC(CC4)N5C6=CC=CC=C6NC5=O
3047798,CC1CC(=O)NN=C1C2=CC=C(C=C2)NCC(C)(C)NCC(COC3=C(C=CC(=C3)Cl)C#N)O
10158453,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4.Cl
379,CCCCCCCC(=O)O
385,C(CCC(=O)O)CCC(=O)O
398,CC(C)[N+](=O)[O-]
