Endpoint,Split,Mean_AUROC,Std_AUROC,CI_Lower,CI_Upper
SR-p53,Random,0.7720081210778884,0.015868219262616674,0.7409064113231597,0.8031098308326171
SR-p53,Scaffold,0.7532018848377502,0.013372140005077318,0.7269924904277987,0.7794112792477017
SR-HSE,Random,0.7846050134824727,0.02801874122861145,0.7296882806743943,0.8395217462905511
SR-HSE,Scaffold,0.732919984029686,0.01213626293538789,0.7091329086763257,0.7567070593830462
SR-MMP,Random,0.8072574220932859,0.005568971445437305,0.7963422380602287,0.818172606126343
SR-MMP,Scaffold,0.7654075712443872,0.0041564473979505455,0.7572609343444041,0.7735542081443703
NR-AR,Random,0.844438013566792,0.004529381536829382,0.8355604257546064,0.8533156013789777
NR-AR,Scaffold,0.798381396868733,0.004691180563978644,0.7891866829633348,0.8075761107741312
NR-ER,Random,0.7842278877669857,0.013785416140234631,0.7572084721321258,0.8112473034018456
NR-ER,Scaffold,0.762500730922912,0.0035099901041637208,0.7556211503187511,0.769380311527073
NR-PPAR-gamma,Random,0.8354252587659472,0.0069481623223528926,0.8218068606141355,0.8490436569177588
NR-PPAR-gamma,Scaffold,0.8241928432939669,0.004074125360956504,0.8162075575864922,0.8321781290014416
