DTXSID,SMILES,Risk_Score_PPARg
DTXSID6026901,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.995
DTXSID5037028,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.99
DTXSID1026902,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.99
DTXSID3041665,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.99
DTXSID0044367,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.99
DTXSID7022883,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.985
DTXSID0033382,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,0.985
DTXSID9049297,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.98
DTXSID5047900,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],0.98
DTXSID0047957,CCCCCCCCOC(=O)c1ccc(O)cc1,0.98
DTXSID2025139,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.98
DTXSID4049298,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.98
DTXSID0047953,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],0.98
DTXSID9047885,CCCCCCCCCOC(=O)c1ccc(O)cc1,0.98
DTXSID2040787,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.975
DTXSID1047944,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],0.975
DTXSID9041289,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.975
DTXSID1026031,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.975
DTXSID4042418,CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.97
DTXSID3030636,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,0.97
DTXSID4047917,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.97
DTXSID4048698,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],0.965
DTXSID4022523,CCCCCCCOC(=O)c1ccc(O)cc1,0.965
DTXSID5047950,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,0.965
DTXSID5047112,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],0.96
DTXSID7057812,Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,0.955
DTXSID2026107,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0.955
DTXSID2046755,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1,0.955
DTXSID7024827,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,0.955
DTXSID3033307,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],0.95
DTXSID9046528,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],0.95
DTXSID0022808,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0.95
DTXSID9032537,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],0.95
DTXSID5044366,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.945
DTXSID4042416,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.94
DTXSID1049229,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.94
DTXSID7045447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,0.94
DTXSID9047883,CCCCCCCCCCCCOC(=O)c1ccc(O)cc1,0.94
DTXSID7022384,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.935
DTXSID6025226,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,0.935
DTXSID8047923,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.935
DTXSID3037094,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.935
DTXSID1045085,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,0.935
DTXSID1044487,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],0.93
DTXSID3042633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,0.93
DTXSID8042264,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,0.93
DTXSID2041759,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],0.93
DTXSID5042459,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],0.925
DTXSID7037185,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,0.925
DTXSID7041887,C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,0.925
DTXSID7022592,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,0.92
DTXSID6021666,CCCCCCCCCCCCCC(=O)O,0.92
DTXSID1034181,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.92
DTXSID3046619,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1,0.92
DTXSID2020345,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],0.92
DTXSID4022448,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,0.9191666666666666
DTXSID6032431,CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC,0.9191666666666666
DTXSID9047918,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0.915
DTXSID8049254,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.915
DTXSID9025114,CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1,0.915
DTXSID3023550,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.915
DTXSID5025998,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,0.915
DTXSID4046606,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-],0.915
DTXSID0025997,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C=O)C(C)(C)CCC1,0.915
DTXSID8035180,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0.9133333333333334
DTXSID2039336,C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,0.9133333333333334
DTXSID3020465,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,0.91
DTXSID2045232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.91
DTXSID3040770,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,0.91
DTXSID6057619,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)CC3OC1CC(N2CCOC(OC)C2)C(O)C(C)O1,0.91
DTXSID0022933,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.905
DTXSID3021770,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,0.905
DTXSID4040767,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,0.905
DTXSID4022810,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,0.905
DTXSID3021275,CCN(CC)C(=S)[S-].O.O.O.[Na+],0.905
DTXSID4047963,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,0.905
DTXSID9049299,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,0.905
DTXSID6022844,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.905
DTXSID7034042,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],0.905
DTXSID9049401,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,0.905
DTXSID9030048,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,0.9025
DTXSID6041761,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],0.9
DTXSID9034997,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],0.9
DTXSID6023319,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0.9
DTXSID2023068,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0.9
DTXSID4022652,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,0.9
DTXSID1057749,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1,0.9
DTXSID1049304,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.9
DTXSID7020635,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,0.9
DTXSID2044507,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,0.89625
DTXSID9022360,CC(C)(C)CC(C)(C)c1ccc(O)cc1,0.895
DTXSID3022742,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,0.895
DTXSID0048846,O=C1NC2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2,0.895
DTXSID8041034,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.895
DTXSID7037717,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.895
DTXSID6023656,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.895
DTXSID9021342,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,0.895
DTXSID8048943,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,0.895
DTXSID2025842,C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,0.89
DTXSID2045490,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O,0.89
DTXSID1045326,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1.[Br-],0.89
DTXSID6040662,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,0.89
DTXSID9020166,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[O][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC,0.89
DTXSID0047797,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,0.89
DTXSID5035589,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-],0.89
DTXSID3034402,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,0.89
DTXSID5021463,CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Zn+2],0.89
DTXSID1049015,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,0.89
DTXSID1026081,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,0.89
DTXSID8047341,CN(C)C(=O)NC1(c2ccccc2)CCN(CCC[C@]2(c3ccc(Cl)c(Cl)c3)CCCN(C(=O)c3ccccc3)C2)CC1,0.8883333333333334
DTXSID9026974,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,0.885
DTXSID0021333,CN(C)C(=S)SC(=S)N(C)C,0.885
DTXSID9023756,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,0.885
DTXSID0041985,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Br)cc(Br)c1O,0.885
DTXSID8021301,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.885
DTXSID8023216,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.885
DTXSID5022934,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,0.885
DTXSID3049253,CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.885
DTXSID4022442,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.885
DTXSID2047357,CCc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Br)cc1,0.88375
DTXSID3022956,CCN(CC)C(=S)[S-].[Na+],0.88
DTXSID5033468,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],0.88
DTXSID9046942,CNCCCN1c2ccccc2CCc2ccccc21.Cl,0.88
DTXSID5044528,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1,0.875
DTXSID1044936,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,0.875
DTXSID6022345,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,0.875
DTXSID4036229,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.875
DTXSID3047926,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.875
DTXSID3025045,C=CC(=O)OCCOCCOC(=O)C=C,0.875
DTXSID9047839,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,0.875
DTXSID8045804,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl,0.875
DTXSID5048186,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,0.875
DTXSID3023180,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.87375
DTXSID3047893,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,0.872
DTXSID0048684,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,0.87
DTXSID7040738,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,0.87
DTXSID6023363,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0.87
DTXSID1044514,CCCCCCOC(=O)c1ccc(O)cc1,0.87
DTXSID7023067,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.87
DTXSID9046992,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1.Cl,0.87
DTXSID8020624,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3],0.865
DTXSID0046690,CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,0.865
DTXSID9044796,C=CC(=O)[O][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC,0.865
DTXSID7048798,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1.[Cl-],0.865
DTXSID9035204,C=C(C)C(=O)[O][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC,0.865
DTXSID4022153,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC,0.865
DTXSID3023340,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0.865
DTXSID1023441,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.86
DTXSID1026900,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.86
DTXSID6035491,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],0.86
DTXSID5045889,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,0.86
DTXSID6020690,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0.86
DTXSID2021652,CCCCCCCCCCCCCCC(=O)O,0.86
DTXSID4047387,CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O,0.86
DTXSID4026181,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,0.855
DTXSID1046134,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,0.855
DTXSID2026101,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,0.855
DTXSID3027403,CCC[CH2][Sn]([Cl])([CH2]CCC)[CH2]CCC,0.855
DTXSID8047973,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,0.855
DTXSID7040362,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,0.855
DTXSID1046976,Cc1cc(=O)oc2cc(O)ccc12.O,0.855
DTXSID2021367,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.855
DTXSID2049391,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-],0.855
DTXSID8047505,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+],0.85
DTXSID7047934,CCCCCC[n+]1ccccc1.[Br-],0.85
DTXSID9020372,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,0.85
DTXSID8022325,Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1,0.85
DTXSID8027292,CCC[CH2][Sn]([Cl])([Cl])[CH2]CCC,0.85
DTXSID6021959,Oc1c(Br)cc(Br)cc1Br,0.85
DTXSID6020513,CN(C)C(=S)[S-].C[NH2+]C,0.85
DTXSID5046227,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,0.85
DTXSID1022897,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1,0.85
DTXSID2022381,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,0.85
DTXSID6047315,CCc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2CN2CCN(c3ccc(OC)cc3)CC2)ccc1OCC(=O)O,0.85
DTXSID6034392,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,0.85
DTXSID2027462,CCCCCCCCCCCCOS(=O)(=O)[O-].[NH4+],0.85
DTXSID0048189,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,0.85
