Site_location	Site_code	Sample_date_yyyymmdd	Sample_type	PFBS	PFPeS	PFHxS_linear	PFHpS	PFOS_linear	PFNS	PFDS	PFBA	PFPEA	PFHxA	PFHpA	PFOA	PFNA	PFDA	PFUNDA	PFDoDA	GenX	ADONA	9Cl_PF3ONS	FOSA	FBSA	FHxSA	N_MeFOSAA_linear	N_EtFOSAA_linear	4:2FTS	6:2FTS	8:2FTS	PFTrDA	PFTEDA	11Cl_PF3OUDS	N_MeFOSA_M	N_EtFOSA_M	PFHxS_branched	PFOS_branched
"Madison or Jefferson County, Montana"	MTTW23_pf 01	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 02	20231029	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	5.5	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 03	20231027	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 04	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	  r 	  r 	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 05	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 06	20231024	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 07	20231031	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 08	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 09	20231031	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 10	20231029	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 11	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 12	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 13	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 14	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 15	20231029	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 16	20231029	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 17	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 18	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 19	20231031	Private well	6.8	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 20	20231031	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 21	20231030	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 22	20231101	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	< 16.2  	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
"Madison or Jefferson County, Montana"	MTTW23_pf 23	20231102	Private well	< 10.1  	< 12.5  	< 11.4  	< 18.5  	< 14.3  	< 49.5  	< 49.7  	  u 	< 12.8  	< 39.8  	< 43.1  	< 5.2  	< 7.8  	< 20.6  	< 16.2  	< 51.5  	< 17.7  	< 2  	< 48.1  	< 51.5  	< 101  	< 38.9  	< 15.4  	< 12.2  	< 17.5  	< 52.4  	< 19.1  	< 15.6  	< 51.5  	< 48.6  	< 123  	< 162  	< 22.8  	< 40.4  
