Site_location	Site_code	Sample_date_yyyymmdd	Sample_type	PFOS_linear	PFOS_branched	PFOA	PFHxS_linear	PFHxS_branched	PFDA	PFDoDA	6:2FTS	PFNA	PFUnDA	PFBA	PFHpA	PFHxA	PFPeA	PFTeDA	PFTrDA	PFBS	PFDS	PFHpS	PFNS	PFPeS	4:2FTS	8:2FTS	FBSA	FHxSA	FOSA	N_EtFOSAA_linear	N_EtFOSA_M	N_MeFOSAA_linear	N_MeFOSA_M	11Cl_PF3OUDS	9Cl_PF3ONS	ADONA	GenX	10:2FTS	3_6_OPFHpA	6:2_8:2diPAP	6:6PFPi	FDSA	FDUEA	FHpPA	FHpSA	FHUEA	FOUEA	PF40PeA	PF5OHxA	PFECHS_cis_plus_trans	PFEESA	PFTrDS	PFUnDS	8:2_diPAP	FOSAA	FPePA	FPrPA	N_MeFBSA_M	PBSA
"Salinas County, California"	CH_TW2023_001	20230701	Public supply	<0.146	<0.4	E0.45	<0.37	<0.18	<0.1	<0.1	1.2	<0.1	<0.1	<1	<0.1	<0.1	<1	<1.0	<0.1	<0.45	<0.2	<0.1	<0.19	<0.1	<0.1	<0.1	<5	<2	<1	<0.39	<0.51	<0.15	<1.0	<1.0	<0.47	<0.1	<0.5	<0.19	<1	<2.4	<0.49	<0.51	<0.51	<0.51	<1	<0.5	<0.51	<0.2	<5	<0.19	<2.3	<0.98	<0.2	<5.1	<1.5	<10.1	<2	<5	<18
"Salinas County, California"	CH_TW2023_002	20230703	Public supply	7.4	2.9	E0.39	3.4	<0.87	0.8	1.7	0.4	0.2	0.6	<5.0	<0.5	<5.0	<5.2	<1.5	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_003	20230705	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_004	20230701	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_005	20230703	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_006	20230705	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_007	20230706	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_008	20230717	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_009	20230706	Public supply	<0.37	<0.98	<0.2	0.7	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_010	20230707	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
