DTXSID,CASRN,Chemical Name,Global_Risk_Index,Risk_Category,Hazard_Composite,Exposure_Score,Persistence_Score,LogP,TPSA
DTXSID1072559,72276-08-5,2-[Methyl[(perfluorohexadecyl)ethylsulfonyl]amino]ethyl 2-propenoate,37.845571312767284,High Exposure Risk,7.334096841847188,8.0,6.450278086189577,10.459099999999996,63.68
DTXSID8071726,68758-56-5,"2-(Methyl((2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17-tritriacontafluoroheptadecyl)sulphonyl)amino)ethyl acrylate",37.39787903281029,High Exposure Risk,7.264742335125831,8.0,6.434825439710954,10.068999999999997,63.68
DTXSID6072558,72276-07-4,2-[Methyl[(perfluorotetradecyl)ethylsulfonyl]amino]ethyl 2-propenoate,36.46985942083736,High Exposure Risk,7.25546363409349,8.0,6.283171768904118,9.1885,63.68
DTXSID20881277,68758-55-4,"2-(N-(1,1-dihydroperfluoropentadecylsulfonyl)-N-methylamino)ethyl acrylate",36.34092384488325,High Exposure Risk,7.247637285399758,8.0,6.267719122425493,8.7984,63.68
DTXSID1072557,72276-06-3,2-[Methyl[(perfluorododecyl)ethylsulfonyl]amino]ethyl 2-propenoate,35.44205764561649,High Exposure Risk,7.2436392984145765,8.0,6.116065451618659,7.917900000000006,63.68
DTXSID60833295,866396-85-2,"3-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)propyl prop-2-enoate",35.04765228221005,High Exposure Risk,8.022384554413298,8.0,5.460915648659838,2.946200000000001,60.440000000000005
DTXSID30896897,NOCAS_896897,2-[[(Perfluorooctyl)sulfonyl]methylamino]ethyl propenoate,34.63801732584011,High Exposure Risk,7.612404328774321,8.0,5.68775905578724,4.347200000000003,72.47
DTXSID9070375,66008-67-1,"2-[N-(1,1-Dihydroperfluorotridecylsulfonyl)-N-methylamino]ethyl acrylate",34.62341939052798,High Exposure Risk,7.094250302477036,8.0,6.100612805140035,7.527800000000005,63.68
DTXSID70893320,110570-90-6,2-({3-[(Perfluorooctyl)sulfonyl]propyl}amino)ethyl acrylate,34.52261991010877,High Exposure Risk,7.510322548960861,8.0,5.745861726485598,5.077000000000003,72.47
DTXSID50785153,499776-70-4,"2-{[3-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)propyl]amino}ethyl prop-2-enoate",34.511678372414735,High Exposure Risk,7.971617751411766,8.0,5.411649091914679,2.535800000000001,72.47
DTXSID40797028,60194-47-0,2-[(Perfluorooctane-1-sulfonyl)amino]ethyl prop-2-enoate,34.476693663349494,High Exposure Risk,7.524978276096235,8.0,5.727042058856799,4.601900000000001,72.47
DTXSID70880957,72276-05-2,(((Perfluorodecyl)ethylsulphonyl)methylamino)ethyl acrylate,33.86558504957703,High Exposure Risk,7.115863524370328,8.0,5.948959134333198,6.647300000000004,63.68
DTXSID30880493,58920-31-3,4-(Methyl((perfluorooctyl)sulfonyl)amino)butyl 2-propenoate,33.70110527989813,High Exposure Risk,7.268655882294195,8.0,5.795621952951276,5.724300000000004,63.68
DTXSID8071302,68227-98-5,4-(Methyl((tridecafluorohexyl)sulfonyl)amino)butyl 2-propenoate,33.63998961764343,High Exposure Risk,7.470883931741989,8.0,5.628515635665815,4.453700000000003,63.68
DTXSID80865199,25268-77-3,2-[[(Perfluorooctyl)sulfonyl](methyl)amino]ethyl acrylate,33.62637015563097,High Exposure Risk,7.291418672185402,8.0,5.764716659994027,4.9441000000000015,63.68
DTXSID3071301,68227-97-4,4-(Methyl((pentadecafluoroheptyl)sulfonyl)amino)butyl prop-2-enoate,33.37670791123622,High Exposure Risk,7.303988518243266,8.0,5.7120687943085455,5.089000000000003,63.68
DTXSID1071080,68084-62-8,2-(Methyl((perfluoroheptyl)sulfonyl)amino)ethyl acrylate,33.373970818426784,High Exposure Risk,7.34311968192972,8.0,5.681163501351298,4.3088000000000015,63.68
DTXSID3069306,59071-10-2,2-((Ethyl(pentadecafluoroheptyl)sulfonyl)amino)ethyl acrylate,33.224719887449524,High Exposure Risk,7.290450818795778,8.0,5.696616147829921,4.698900000000002,63.68
