DTXSID,CASRN,Chemical Name,Regulatory_Action,Risk_Mean,Risk_Uncertainty
DTXSID90893387,371771-07-2,"N-(2-Methylsulfinyl-1,1-dimethyl-ethyl)-N'-{2-methyl-4-[perfluoroisopropyl]phenyl}phthalamide",Urgent Testing,0.438,0.05528109984434102
DTXSID3034531,23564-06-9,Thiophanate,Regulate / Ban,0.43200000000000005,0.034
DTXSID6046923,40516-48-1,Tretinoin tocoferil,Regulate / Ban,0.4176666666666667,0.016999999999999998
DTXSID0033334,27994-11-2,Cimicifugoside,Regulate / Ban,0.40535,0.04766657634024075
DTXSID7026863,110-98-5,"1,1'-Oxybis-2-propanol",Regulate / Ban,0.404,0.023748684174075836
DTXSID8020127,30516-87-1,3'-Azido-3'-deoxythymidine,Regulate / Ban,0.4033333333333333,0.04711687595755898
DTXSID00897093,902456-09-1,"Thymidine, 5'-O-[[4-(1H,1H,2H,2H-perfluorodecyl)phenyl]bis(4-methoxyphenyl)methyl]-, 3'-[2-cyanoethyl N,N-bis(1-methylethyl)phosphoramidite]",Urgent Testing,0.402,0.05963220606350229
DTXSID8057728,38234-21-8,Fertirelin,Regulate / Ban,0.40198333333333325,0.04806895798976947
DTXSID7049009,74381-53-6,Leuprolide acetate,Regulate / Ban,0.40090000000000003,0.0470833893804976
DTXSID7022839,2030-63-9,Clofazimine,Monitor,0.399,0.05068530358989675
DTXSID7048954,51952-41-1,Gonadorelin hydrochloride,Monitor,0.3959833333333333,0.04975699001703736
DTXSID5042247,80443-63-6,"2-(2-(4-Chlorophenyl)ethyl)-2-(1,1-dimethylethyl)oxirane",Monitor,0.394,0.06483826030978931
DTXSID4046494,124508-66-3,Triptorelin pamoate,Monitor,0.3922333333333333,0.052138714556033666
DTXSID6041688,41483-43-6,Bupirimate,Monitor,0.39,0.057445626465380296
DTXSID1046683,82318-06-7,Deslorelin acetate,Monitor,0.3879,0.03555154317638296
DTXSID9046736,145781-92-6,Goserelin acetate,Monitor,0.3877333333333334,0.0358409449280196
DTXSID4047672,272451-65-7,Flubendiamide,Monitor,0.3876,0.03903639327601873
DTXSID8045985,1180-71-8,Limoni,Monitor,0.38499999999999995,0.0329393381840012
DTXSID3021356,52225-20-4,dl-alpha-Tocopheryl acetate,Monitor,0.38166666666666665,0.025132979661525744
DTXSID1031096,58-95-7,D-alpha-Tocopheryl acetate,Monitor,0.38166666666666665,0.025132979661525744
DTXSID1045112,102280-49-9,Tramazoline tosylate,Monitor,0.3815,0.037151715976519846
DTXSID7041178,2657-00-3,"1-Naphthalenesulfonic acid, 6-diazo-5,6-dihydro-5-oxo, sodium salt",Monitor,0.38100000000000006,0.04948737212663448
DTXSID1045584,42461-84-7,Flunixin meglumine,Monitor,0.381,0.0383275357934736
DTXSID8045771,75507-68-5,Flupirtine maleate,Monitor,0.38,0.0652686754883229
DTXSID2073778,107350-42-5,"N-(2,3,4,5-Tetrachlorophenyl)perfluorocyclohexanecarboxamide",Monitor,0.37785,0.058417484540161435
DTXSID70896452,346575-66-4,"2-[4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2-methylphenyl]-4-iodo-1H-isoindole-1,3(2H)-dione",Monitor,0.377,0.022383029285599394
DTXSID0040464,114977-28-5,Docetaxel,Monitor,0.3753333333333334,0.05344155686354955
DTXSID2026151,4345-03-3,d-alpha-Tocopheryl succinate,Monitor,0.3751666666666667,0.027146209066215243
DTXSID0046808,465-39-4,Bufogenin,Monitor,0.37366666666666665,0.04886375616616744
DTXSID8045646,33564-31-7,Diflorasone diacetate,Monitor,0.3700833333333333,0.04204238932315812
DTXSID6045905,51022-69-6,Amcinonide,Monitor,0.36958333333333326,0.047133454148831494
DTXSID9020378,14484-47-0,Deflazacort,Monitor,0.3693333333333333,0.04564628498939791
DTXSID6040662,57808-65-8,Closantel,Monitor,0.368,0.04489988864128729
DTXSID5046140,3689-76-7,Chlormidazole,Monitor,0.367,0.033778691508109075
DTXSID7073777,107349-93-9,"N-(2-Cyano-4-nitrophenyl)-1,2,2,3,3,4,4,5,5,6,6-undecafluorocyclohexanecarboxamide",Monitor,0.36633333333333334,0.05871683461041362
DTXSID2025925,326-61-4,Piperonyl acetate,Monitor,0.366,0.060033324079214544
DTXSID5044239,43229-80-7,Formoterol hemifumarate,Monitor,0.36499999999999994,0.03383784863137727
DTXSID5045679,183814-30-4,Formoterol hemifumarate dihydrate,Monitor,0.36499999999999994,0.03293933818400121
DTXSID5048631,13422-55-4,Mecobalamin,Monitor,0.3611785714285714,0.02460403256312564
DTXSID70897500,240129-24-2,"25,26,26,26,27,27,27-Heptafluoro-5beta,6beta-5,6-epoxycholestan-3beta-ol",Monitor,0.36100000000000004,0.03360059523282289
DTXSID20897499,240129-21-9,"25,26,26,26,27,27,27-Heptafluoro-5alpha,6alpha-5,6-epoxycholestan-3beta-ol",Monitor,0.36100000000000004,0.03360059523282289
DTXSID3025209,15791-78-3,C.I. Disperse Blue 27,Monitor,0.36000000000000004,0.042426406871192854
DTXSID1046552,6233-83-6,Oxytocin acetate,Monitor,0.36,0.04711687595755898
DTXSID6046507,78-41-1,Triparanol,Monitor,0.35975,0.03997577391370929
DTXSID1046396,43119-47-7,DL-alpha Tocopheryl nicotinate,Monitor,0.35966666666666663,0.020518284528683192
DTXSID40432922,238098-26-5,"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2-methylaniline",Monitor,0.35900000000000004,0.03534119409414459
DTXSID3049045,173399-03-6,Aliskiren hydrochloride,Monitor,0.359,0.040112342240263166
DTXSID4048690,868540-17-4,Carfilzomib,Monitor,0.358,0.0124899959967968
DTXSID1024338,23564-05-8,Thiophanate-methyl,Monitor,0.358,0.044
DTXSID4034788,213464-77-8,Orthosulfamuron,Monitor,0.358,0.03515679166249389
DTXSID2023197,17575-21-2,Lanatoside B,Monitor,0.357,0.04632493928760189
DTXSID7044346,68-19-9,Vitamin B12,Monitor,0.357,0.036891733491393436
DTXSID20896366,238098-38-9,"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2-methyl-1-nitrobenzene",Monitor,0.356,0.02870540018881464
DTXSID2073776,107349-88-2,"N-(2,4-Dinitrophenyl)-1,2,2,3,3,4,4,5,5,6,6-undecafluorocyclohexanecarboxamide",Monitor,0.356,0.059194594347794977
DTXSID7073775,107349-85-9,"N-(2-Bromo-4-nitrophenyl)-1,2,2,3,3,4,4,5,5,6,6-undecafluorocyclohexanecarboxamide",Monitor,0.356,0.0632771680782255
DTXSID10896335,353272-53-4,"1-Bromo-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2-methylbenzene",Monitor,0.355,0.03748332962798262
DTXSID0048719,1255-35-2,Fluprednidene acetate,Monitor,0.3540833333333333,0.039508174259681166
DTXSID3041615,4658-28-0,Aziprotryne,Monitor,0.35383333333333333,0.03806463800782383
DTXSID10897504,1401422-21-6,"N-[9-[(4S,5R)-4-[2-cyanoethoxy-[di(propan-2-yl)amino]phosphanyl]oxy-5-[[[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]-bis(4-methoxyphenyl)methoxy]methyl]oxolan-2-yl]-6-oxo-1H-purin-2-yl]-2-methylpropanamide",Monitor,0.35300000000000004,0.04517742799230607
DTXSID9034492,120116-88-3,Cyazofamid,Monitor,0.35200000000000004,0.04920365840057018
DTXSID0048713,67-78-7,Triamcinolone diacetate,Monitor,0.35118333333333335,0.033989250751769555
DTXSID7023196,17575-20-1,Lanatoside A,Monitor,0.351,0.04892851929090026
DTXSID8047137,151-73-5,Betamethasone 21-phosphate disodium,Monitor,0.35025,0.03202440475637291
DTXSID3047429,2392-39-4,Dexamethasone sodium phosphate,Monitor,0.35025,0.03202440475637291
DTXSID9049031,54-28-4,(+)-gamma-Tocopherol,Monitor,0.35,0.020976176963403023
DTXSID0048977,133305-88-1,Eprinomectin B1a,Monitor,0.35,0.028982753492378877
DTXSID6048171,146011-65-6,FR145237,Monitor,0.35,0.04472135954999579
DTXSID6042280,2597-03-7,Phenthoate,Monitor,0.35,0.03660601043544625
DTXSID9045552,751-94-0,Fusidate sodium,Monitor,0.34965,0.022295795567774657
DTXSID2046468,82034-46-6,Loteprednol etabonate,Monitor,0.34914999999999996,0.040877897450822986
DTXSID2046597,129979-57-3,Argipressin acetate,Monitor,0.349,0.04700000000000001
DTXSID30897506,1401422-22-7,"N-[9-[(4S,5R)-4-[2-cyanoethoxy-[di(propan-2-yl)amino]phosphanyl]oxy-5-[[[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]-(4-methoxyphenyl)-phenylmethoxy]methyl]oxolan-2-yl]-6-oxo-1H-purin-2-yl]-2-methylpropanamide",Monitor,0.349,0.04276680956068619
DTXSID7022914,364-98-7,Diazoxide,Monitor,0.3485,0.037686204372422545
DTXSID2046208,75963-52-9,Nuclomedone,Monitor,0.34800000000000003,0.0511468474101777
DTXSID9040683,595-33-5,Megestrol acetate,Monitor,0.34800000000000003,0.04707440918375928
DTXSID8045694,4394-05-2,Nixylic acid,Monitor,0.348,0.03682390527904394
DTXSID2051477,104-82-5,4-Methylbenzyl chloride,Monitor,0.348,0.04561797891182817
DTXSID8022901,1177-87-3,Dexamethasone acetate,Monitor,0.3470833333333333,0.03806655356083606
DTXSID6037697,60397-77-5,"N-(2,4-Dimethylphenyl)formamide",Monitor,0.34700000000000003,0.03218695387886216
DTXSID9045136,1163-36-6,Clemizole hydrochloride,Monitor,0.347,0.05797413216254297
DTXSID9057682,21228-13-7,Dorastine,Monitor,0.347,0.043600458713183285
DTXSID6048705,35531-88-5,Carbenicillin indanyl,Monitor,0.34650000000000003,0.03361919094802847
DTXSID9023413,33069-62-4,Paclitaxel,Monitor,0.3463333333333333,0.05355059912518876
DTXSID9045689,87248-13-3,Vapiprost hydrochloride,Monitor,0.34541666666666665,0.059511028389702694
DTXSID1047811,747-36-4,Hydroxychloroquine sulfate,Monitor,0.34500000000000003,0.04821825380496477
DTXSID1046263,119-13-1,D-delta-Tocopherol,Monitor,0.34500000000000003,0.030083217912982643
DTXSID4046864,62288-83-9,Desmopressin acetate,Monitor,0.345,0.052009614495783375
DTXSID6045903,165108-07-6,Selamectin,Monitor,0.3443,0.051540372524846965
DTXSID4057766,53786-46-2,"Ethyl 4-(5-chloro-2,3-dihydro-2-oxo-1h-benzimidazol-2-yl)piperidine-1-carboxylate",Monitor,0.34299999999999997,0.03195309061734091
DTXSID30896231,871210-22-9,"(4S,5R)-4-(Propan-2-yl)-5-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)-1,3-oxazolidin-2-one",Monitor,0.34275,0.05126463205758918
DTXSID4041600,36001-88-4,Amiprofos-methyl,Monitor,0.3421666666666667,0.040194319665014036
DTXSID5048184,2919-66-6,Melengestrol acetate,Monitor,0.34199999999999997,0.03736308338453881
DTXSID60896047,15959-98-5,"Ethyl 2-diazo-4,4,5,5,6,6,6-heptafluoro-3-oxohexanoate",Monitor,0.341,0.06024118192731613
DTXSID5040625,1393-48-2,Thiostrepton,Monitor,0.34099999999999997,0.05028916384272063
DTXSID8021856,104-13-2,4-Butylaniline,Monitor,0.34099999999999997,0.05838664230798
DTXSID0048842,57132-53-3,Proglumetacin,Monitor,0.34066666666666673,0.0619462132283591
DTXSID2044769,103-95-7,Cyclamen aldehyde,Monitor,0.34,0.0433589667773576
DTXSID60896148,322647-82-5,"Tris{4-[3,3,4,4,5,5,5-heptafluoro-2,2-bis(trifluoromethyl)pentyl]phenyl}phosphane",Monitor,0.34,0.06572670690061994
DTXSID1026293,81-48-1,D&C Violet 2,Monitor,0.33999999999999997,0.045
DTXSID2032550,111812-58-9,"Fenpyroximate (Z,E)",Monitor,0.3394,0.03554208772708772
DTXSID1045669,58493-49-5,(Z)-N-[(4-Hydroxy-3-methoxyphenyl)methyl]octadec-9-enamide,Monitor,0.339,0.030479501308256343
DTXSID3022904,33755-46-3,Dexamethasone valerate,Monitor,0.339,0.06236184731067546
DTXSID7022673,2152-44-5,Betamethasone valerate,Monitor,0.339,0.06236184731067546
DTXSID7037555,102851-06-9,tau-Fluvalinate,Monitor,0.33899999999999997,0.03176476034853718
DTXSID7024110,69409-94-5,Fluvalinate,Monitor,0.33899999999999997,0.03176476034853718
DTXSID2046121,17737-65-4,Clonixin,Monitor,0.33890000000000003,0.030313198445561636
DTXSID0026339,59-02-9,alpha-Vitamin E,Monitor,0.3381666666666666,0.027753378172755833
DTXSID2047351,464930-42-5,SSR 240612,Monitor,0.33799999999999997,0.05775811631277461
DTXSID4040719,97-36-9,"N-(2,4-Dimethylphenyl)-3-oxobutanamide",Monitor,0.33799999999999997,0.03465544690232692
DTXSID3048944,606143-52-6,Selumetinib,Monitor,0.337,0.030016662039607272
DTXSID5037577,113507-06-5,Moxidectin,Monitor,0.337,0.026095976701399782
DTXSID3029364,41317-15-1,4-Methoxy-2-methyl-N-phenylaniline,Monitor,0.337,0.05197114584074512
DTXSID6021458,59820-43-8,HC Yellow 4,Monitor,0.33699999999999997,0.04561797891182818
DTXSID1046926,69-25-0,Eledoisin,Monitor,0.3368285714285715,0.03777651761937187
DTXSID7045601,92953-10-1,Clofilium tosylate,Monitor,0.3365,0.05522906843320825
DTXSID7044681,50-63-5,Chloroquine bis(phosphate),Monitor,0.33625,0.049513255800845896
